nama_penulis,rating,teks_ulasan,waktu,likes,case_holding_sentimen,sentimen,ulasan_bersih
Simpran Purbantini,5.0,Recommended bgt buat yang lgi cari2 laptop second kualitas tinggi,2 years ago,0,Netral,Positif,recommended bgt lgi cari laptop second kualitas
Sang pejuang,5.0,"Rekomend, leptop berkualitas dan bergaransi, pelayanan sangat memuaskan",3 years ago,0,Netral,Positif,rekomend leptop kualitas garansi layan muas
Kristianto,5.0,"Pilihan laptopnya banyak, harga terjangkau,
mantapp👍🏻",a year ago,0,Netral,Positif,pilih laptop harga jangkau mantapp
Ayu Ratih,5.0,"oke banget, beli laptop second serasa baruuu👌🏻",2 years ago,0,Netral,Positif,oke banget beli laptop second serasa baruuu
Khuma Humsosi,5.0,Pelayanan ramah,5 months ago,0,Netral,Positif,layan ramah
Fuadatus Sholihah,5.0,"Tempat beli laptop spek bagus, harga terjangkau.",a year ago,0,Netral,Positif,beli laptop spek bagus harga jangkau
PO POO,5.0,Mantap,a month ago,0,Netral,Positif,mantap
Dyah Septi,5.0,"Sangat recomended, pelayanan nya juga sangat ramahh👍👍",2 years ago,0,Netral,Positif,recomended layan nya ramahh
Wahyu Budi Santoso,5.0,"Tempat beli laptop second yang recommended , dan pasti masih garansi resmi",a year ago,0,Netral,Positif,beli laptop second recommended garansi resmi
Dikra Sadoni,5.0,"Pelayanan ramah , tempat strategis , aksesoris komplit",2 years ago,0,Netral,Positif,layan ramah strategis aksesoris komplit
Syaifullah Alfaruq,5.0,"Pelayanan mantap, laptop 2nd berkualitas semua 👍",2 years ago,0,Netral,Positif,layan mantap laptop nd kualitas
Muhammad Idham Arafah,5.0,Rudi pernah beli laptop disini,2 years ago,0,Netral,Positif,rudi beli laptop
Pendet 11,5.0,"Bagus, dapet laptop gaming gahar mantap, tapi harga miring",Edited 11 months ago,0,Netral,Positif,bagus dapet laptop gaming gahar mantap harga miring
Hapy I,5.0,"Rekomend buat yg cari laptop second kualitas sangat bagus, disini ada banyak",3 years ago,0,Netral,Positif,rekomend yg cari laptop second kualitas bagus
Hasan Riyanto,5.0,"Barang istimewa.
Pelayanan super ramah.

Makasih mas.
Sukses teruss",4 years ago,0,Positif,Positif,barang istimewa layan super ramah makasih mas sukses teruss
Almaz Fiqri,5.0,"Nice shop, pelayanan sangat ok",a year ago,0,Positif,Positif,nice shop layan ok
Rizqi Firdaus,5.0,"REKOMEN TEMPATNYA, SAYANG CEPET HILANH BARANGNYA.

MANTEPPP LAHH",a year ago,0,Netral,Positif,rekomen tempat sayang cepet hilanh barang manteppp lahh
Ayu Ratih,5.0,"oke banget, beli laptop second serasa baruuu👌🏻",2 years ago,0,Netral,Positif,oke banget beli laptop second serasa baruuu
Sparepart Laptop,5.0,Agannya ramah..tempatnya nyaman..udh ga bisa bilang apa apa lagi..trusted lah,4 years ago,0,Netral,Positif,agan ramahtempatnya nyamanudh ga bilang lagitrusted
Rahma Dania Ayushinta,5.0,"Tempat nyaman, penjualnya ramah, ga nyesel beli disini 👍",4 years ago,0,Netral,Positif,nyaman jual ramah ga nyesel beli
Sarrah Natalia,5.0,"Pelayanan nyaman, barang oke👌
Sukses selalu Hero Computer Jogja😇",3 years ago,0,Netral,Positif,layan nyaman barang oke sukses hero computer jogja
Muhamad Hakim Saputra,5.0,Ramah rekomended,3 years ago,0,Netral,Positif,ramah rekomended
Adinda Willyana,5.0,"laptopnya bagus², pelayanannya ramah. recomended pokoknyaa👍👍👍👍",2 years ago,0,Netral,Positif,laptop bagus layan ramah recomended pokoknyaa
Rezky Amy,5.0,"Sangat recommended, pelayanan nya sangat ramahh👍👍",2 years ago,0,Netral,Positif,recommended layan nya ramahh
Damar Nurrahman,5.0,pelayanan baik dan ramah.. produk oke,2 years ago,0,Netral,Positif,layan ramah produk oke
Rasyid Ghoni Abdillah,5.0,"Mantapp  , Sangatt Ramahh , Pelayanannya  Ramah , Barangnya Jospar",3 years ago,0,Netral,Positif,mantapp sangatt ramahh layan ramah barang jospar
hafif okredi,5.0,"Pelayanan cepat, dan mas nya ramah pool",a year ago,0,Netral,Positif,layan cepat mas nya ramah pool
Didi Ahmad Mulya,5.0,Dapet legion di sini wkwk,5 months ago,0,Netral,Positif,dapet legion wkwk
Evan Pramudya,5.0,"Penjualnya ramah, pokoknya recommend bgt 👍🏻",2 years ago,0,Netral,Positif,jual ramah pokok recommend bgt
Mukminan Arief,5.0,"Recomended, lengkap dan ramah",3 years ago,0,Netral,Positif,recomended lengkap ramah
Rokhmad Syarifuddin,4.0,"Laptop nya bagus ,sesuai dengan harga ,lokasinya mudah dijangkau siip buat Hero Computer",2 years ago,0,Netral,Positif,laptop nya bagus sesuai harga lokasi mudah jangkau siip hero computer
Gilang Fathurrohman,5.0,Pelayanannya ramah serta di beri pengarahan sebelum memilih Joss.....,3 years ago,0,Netral,Positif,layan ramah arah pilih joss
Faisa Ardra,5.0,"Ramah, dijelaskan dengan baik, kualitas tidak mengecewakan",a year ago,0,Netral,Positif,ramah kualitas kecewa
Ananderra Faiz,5.0,"Laptopnya keren, mulus-2 like new, joss",a year ago,0,Positif,Positif,laptop keren mulus like new joss
DavinAlanDarma Davin,5.0,Laptopnya baguss baguss,3 months ago,0,Netral,Positif,laptop baguss baguss
Yustinus Paidi,5.0,Pelayanan yang sangat bagus dan barangnya istimewaaaaaa,2 years ago,0,Netral,Positif,layan bagus barang istimewaaaaaa
Muh Stefryadhi,5.0,"Mantap, harga harga murah bagi para mahasiswa",a year ago,0,Netral,Positif,mantap harga harga murah mahasiswa
Zulfi Risqi,5.0,"Owner ramah, pelayanan oke. Murah sepenjuru jogja",3 years ago,0,Netral,Positif,owner ramah layan oke murah penjuru jogja
23 Naufal Arif,5.0,Pelayanan ramah sama masnya gak pelit ilmu.,a year ago,0,Netral,Positif,layan ramah mas gak pelit ilmu
Agus Tiadi,5.0,"Mantap sekali
Ramah dan sabar",9 months ago,0,Netral,Positif,mantap ramah sabar
Pravayangastha,5.0,"Sangat memuaskan, pelayanan nya juga baik",2 years ago,0,Netral,Positif,muas layan nya
yusuf kurniawan,5.0,"Top, walaupun second laptopnya model baru semua",a year ago,0,Positif,Positif,top second laptop model
jus jambu,5.0,ramah,2 months ago,0,Netral,Positif,ramah
MUHAMMAD WISNU ADJI PANGESTU,5.0,"Barang sesuai, walau second masih keliatan likenew",a year ago,0,Netral,Positif,barang sesuai second liat likenew
Alssa Askfritho,5.0,barang bagus dan pelayanan toko ramah👌👍🏻,2 years ago,0,Netral,Positif,barang bagus layan toko ramah
Ronald Igor Raditya,5.0,"Pelayanan ramah, cepat, informatif, mantab pokoknya",a year ago,0,Netral,Positif,layan ramah cepat informatif mantab pokok
Abdul Aziz,5.0,"Pelayanan ramah, kualitas top, trusted, RECOMMENDED!",3 years ago,0,Positif,Positif,layan ramah kualitas top trusted recommended
Samsul Robi,5.0,"Pelayanan baik, good seller",a year ago,0,Positif,Positif,layan good seller
Febi Utami FU,5.0,"Pelayanannya cepat dan juga ramah ditoko ini,  harganya juga murah",3 years ago,0,Netral,Positif,layan cepat ramah toko harga murah
luqman hakim,5.0,"Mantaplah, rekomendasi buat para temen"" yang mau cari laptop 👍",3 years ago,0,Netral,Positif,mantap rekomendasi temen cari laptop
arka Arka,5.0,"Keren,kualitasnya bagus,pelayanan sangat baik",2 years ago,0,Netral,Positif,kerenkualitasnya baguspelayanan
Arni Kurnia,5.0,"Highly recommended, pelayanan ramah, kualitas produk okeee",3 years ago,0,Positif,Positif,highly recommended layan ramah kualitas produk okeee
ARGASYAH AHMAD AL KABIR,5.0,"Pelayanan Mantab, Barang like new harga 2nd",2 years ago,0,Netral,Positif,layan mantab barang like new harga nd
Angga Putra,5.0,Tempat nya nyaman dan mas nya ramah,10 months ago,0,Netral,Positif,nya nyaman mas nya ramah
marda tri setya,5.0,Sangat recoment banget buat 2nd likenews barang masih bagus..,3 years ago,0,Netral,Positif,recoment banget nd likenews barang bagus
Ilham Sudistiawan,5.0,Tempat pembelian laptop second yang sangat recommended.,a year ago,0,Netral,Positif,beli laptop second recommended
Muktafin,5.0,Mantabbb.. rekomended sekali..,2 years ago,0,Netral,Positif,mantabbb rekomended
Bebek Petarung,5.0,Tempat bagus buat nyari laptop harga terbaik di jogja,2 years ago,0,Netral,Positif,bagus nyari laptop harga baik jogja
Cheen Lee,5.0,"Jual laptop bekas tapi berkualitas, untuk harga bisa cari sesuai budget.",3 years ago,0,Netral,Positif,jual laptop bekas kualitas harga cari sesuai budget
Alif Haikal,5.0,"harga terbaik, pelayanan ramah, jos pokoke 👍🏻",3 years ago,0,Netral,Positif,harga baik layan ramah jos pokoke
Strawberry _,5.0,Tempat jual beli laptop jogja dengan garansi dan banyak pilihan..recommended👍,2 years ago,0,Netral,Positif,jual beli laptop jogja garansi pilihanrecommended
Aulia Rahman,5.0,bagus tempatnya,7 months ago,0,Netral,Positif,bagus tempat
Safri munthe013,5.0,Sangat rekomen untuk cari² laptop dana pelajar,a year ago,0,Netral,Positif,rekomen cari laptop dana ajar
Arfashad Izaz,5.0,"Toko Laptop Second Paling recomended, pelayanan paling poll top global",2 years ago,0,Positif,Positif,toko laptop second recomended layan poll top global
Muhammad Mahfudz,5.0,Tempat beli laptop second dengan harga murah dan kualitas yang baik.,2 years ago,0,Netral,Positif,beli laptop second harga murah kualitas
Ahmad Bilvan Firjatullah,5.0,mantap sekali gak nyesel jauh jauh dari magelang,a year ago,0,Netral,Positif,mantap gak nyesel magelang
Rahma Yulianto,5.0,Laptop nya berkualitas semua,3 years ago,0,Netral,Positif,laptop nya kualitas
Nopel Nop,5.0,"worth it, dan mulus mulus sih",7 months ago,0,Positif,Positif,worth it mulus mulus sih
Vivi Ulvia,5.0,"Kakaknya ramah, pelayanan baik...",a year ago,0,Netral,Positif,kakak ramah layan
subiyan toro,5.0,Membantu pemilihan laptop sesuai kebutuhan. Keren.,11 months ago,0,Netral,Positif,bantu pilih laptop sesuai butuh keren
Tuan Masker Gaming,5.0,Mantap pelayanan OK. Semoga barang aweet,3 years ago,0,Positif,Positif,mantap layan ok moga barang aweet
Gerardus Majella,5.0,mantap,2 months ago,0,Netral,Positif,mantap
kautsar arjuna,5.0,"Pelayanan josjis, harga merakyat, recommended pokoke👍",2 years ago,0,Netral,Positif,layan josjis harga rakyat recommended pokoke
Seno Basis Sampurno,5.0,Mantab,2 months ago,0,Netral,Positif,mantab
Chendana Saksono,5.0,"Toko terpercaya...
3 kali transaksi tdk ada kendala...",3 years ago,0,Netral,Positif,toko percaya kali transaksi tdk kendala
Andreas Hamdani,5.0,"pelayanan bagus, ramah👍🏻👍🏻",a year ago,0,Netral,Positif,layan bagus ramah
Rayhan Aswiansyah,5.0,Mantap laptopnya lengkap ya sip,3 years ago,0,Netral,Positif,mantap laptop lengkap ya sip
Ikhwani amirul,5.0,Hero computer jogja sangat rekomended bagi yang cari laptop dan untuk bagi pelajar atau mahasiswa👍👍,2 years ago,0,Netral,Positif,hero computer jogja rekomended cari laptop ajar mahasiswa
3668 _ Teddy Mukhasan,5.0,Pelayanan mantap dan cekatan. Harga murah dan terjangkau,2 years ago,0,Netral,Positif,layan mantap cekat harga murah jangkau
33_Muhamad Alfareza,5.0,Laptop yang dijual bagus bagus banget dan harga nya merakyat,2 years ago,0,Netral,Positif,laptop jual bagus bagus banget harga nya rakyat
Nur Khanita Ardiningsih,5.0,"Yhuks, mau konsul laptop kamu, mau tuker, mau beli ke HERO COMP ajah",2 years ago,0,Netral,Positif,yhuks konsul laptop tuker beli hero comp ajah
024_Gian Dany Fausta Hariq,5.0,yang butuh laptop second dengan harga miring sung kunjungi hero komputer jogjahhh,2 years ago,0,Netral,Positif,butuh laptop second harga miring sung kunjung hero komputer jogjahhh
muhammad niko,5.0,"Pelayanan ramah, recomended pokoknya 💃",a year ago,0,Netral,Positif,layan ramah recomended pokok
amas rofik,5.0,"Tempatnya nyaman, barang berkualitas😁👍",2 years ago,0,Netral,Positif,tempat nyaman barang kualitas
Widiyawati,5.0,Rekomendasi banget beli laptop disini 👍👍,10 months ago,0,Netral,Positif,rekomendasi banget beli laptop
Dani semprul 22,5.0,barang mantap rekomendasi sesuai kantong sukses terus,3 years ago,0,Netral,Positif,barang mantap rekomendasi sesuai kantong sukses
Desi Sunyahni Permatasari,5.0,Ramah dan bagus,7 months ago,0,Netral,Positif,ramah bagus
Sundaesign Collective,5.0,Puas dengan barang dan pelayanannya 👍🏻,a year ago,0,Netral,Positif,puas barang layan
Briandika Yusni,5.0,tempat lengkap mencari laptop pilihan anda..,a year ago,0,Netral,Positif,lengkap cari laptop pilih
Syahrul Ramadhan,5.0,pelayanan sangat bagus mantap,a year ago,0,Netral,Positif,layan bagus mantap
Bagas saputra,5.0,mantap kali wak beli laptop disini,a year ago,0,Netral,Positif,mantap kali wak beli laptop
Aufa Daffa,5.0,"Penjual ramah serta harga pun terjangkau, mantappp",3 years ago,0,Netral,Positif,jual ramah harga jangkau mantappp
Mutia Sholikha,5.0,"Dua kali beli di sini, fresh dari pemilik pertamanya, memuaskan",3 years ago,0,Positif,Positif,kali beli fresh milik pertama muas
Rheno Viktoria,5.0,"Mantap banget, penjual ramah, harga juga ramah. Kece banget",3 years ago,0,Netral,Positif,mantap banget jual ramah harga ramah kece banget
Noor Faiz Rasyid,5.0,Pelayanan ranah dan menyenangkan,8 months ago,0,Netral,Positif,layan ranah senang
Fardin Afif,5.0,"Cari laptop gaming second yang berkualitas dan masih garansi, cuman disini

Jaminan produk 👍👍👍👍",3 years ago,0,Netral,Positif,cari laptop gaming second kualitas garansi cuman jamin produk
Babuz Zaman,5.0,Produknya sesuai,10 months ago,0,Netral,Positif,produk sesuai
Iqbal Dzikrullah,5.0,"pelayanan bagus, harga terjangkau",a year ago,0,Netral,Positif,layan bagus harga jangkau
lusi ariani,5.0,"Pelayanan bagus, penjual sangat ramah 👍👍",3 years ago,0,Netral,Positif,layan bagus jual ramah
M Yusuf N,5.0,"Laptop berkualitas, harga terjangkau dapat bonus😁",a year ago,0,Netral,Positif,laptop kualitas harga jangkau bonus
muson kilat,5.0,Adminnya baik banget. Mau jelasin spek laptolnya satu2.,3 years ago,0,Netral,Positif,adminnya banget jelasin spek laptolnya
abimanyu,5.0,pelayanan sangat bagus 🤩,10 months ago,0,Netral,Positif,layan bagus
Cadan 07,5.0,murah,a week ago,0,Netral,Positif,murah
zen gamal,5.0,Pelayanan prima harga masih bisa senggol-senggol,a year ago,0,Netral,Positif,layan prima harga senggolsenggol
panji nugroho,5.0,"Enak pelayanan ny, enak tempatnya. Joss",3 years ago,0,Netral,Positif,enak layan ny enak tempat joss
Irianda Wahyu,5.0,Mantap lengkap,a year ago,0,Netral,Positif,mantap lengkap
Aditya Wahyu Pratama,5.0,"harga terjangkau dan kualitas good , terimakasih.",2 years ago,0,Positif,Positif,harga jangkau kualitas good terimakasih
M Rokhiqil,5.0,"Bakule ramah, bonus nya banyak, barang oke 🔥🔥🔥",2 years ago,0,Netral,Positif,bakule ramah bonus nya barang oke
Didik xlr,5.0,Produk sesuai ekpetasi. Mantap pokoke recommended jos!,3 years ago,0,Netral,Positif,produk sesuai ekpetasi mantap pokoke recommended jos
Ivansyah,5.0,"Garansi panjang, barang berkualitas, harga ramah dikantong...",3 years ago,0,Netral,Positif,garansi barang kualitas harga ramah kantong
Maulana Sadid,5.0,"Pelayanan sangat memuaskan, harga terjangkau",3 years ago,0,Netral,Positif,layan muas harga jangkau
luluk cantik,5.0,"Laptop Bagus dan original.
bergaransi resmi",8 months ago,0,Positif,Positif,laptop bagus original garansi resmi
Qonita Izzatunnisa,5.0,"Pelayanannya baguus, harganya oke, tempatnya juga nyaman",3 years ago,0,Netral,Positif,layan baguus harga oke tempat nyaman
Fina Indriana,5.0,"Mantapp pilihannya banyak, masnya informatif, harga juga miring 👍👍",2 years ago,0,Netral,Positif,mantapp pilih mas informatif harga miring
Dheony Danis Wara,5.0,"Mantap jiwa ramah, tempat nyaman bersih dan rapi",3 years ago,0,Netral,Positif,mantap jiwa ramah nyaman bersih rapi
Mahfud Risnansyah,5.0,"Good service, barang sesuai, harga bersaing",3 years ago,0,Positif,Positif,good service barang sesuai harga saing
Miftah Komar,5.0,"Ini five star, barang bagus bagus  ara araaa",a year ago,0,Netral,Positif,five star barang bagus bagus ara araaa
Muhammad Rendy Almustofa,5.0,Berkualitas banget ga salah pilih yg ini,2 years ago,0,Netral,Positif,kualitas banget ga salah pilih yg
Arya Yudha,5.0,Barangnya mulus,3 years ago,0,Netral,Positif,barang mulus
gregorius Eka,5.0,Tempat jual beli laptop paling rekomended. 👏,2 years ago,0,Netral,Positif,jual beli laptop rekomended
Yohan Rahmadani,5.0,"Tempat Cari laptop second like new
rekomen 👍",2 years ago,0,Netral,Positif,cari laptop second like new rekomen
Pandu Dian Wicaksono,5.0,"Mantabbbbbb betul, terimakasih",5 months ago,0,Netral,Positif,mantabbbbbb terimakasih
Gagas Satriawan,5.0,"Penjualnya ramah, pembelinya sumringah 👍🏻",3 years ago,0,Netral,Positif,jual ramah bel sumringah
05. Anugerah Bintang,5.0,"Terpercaya, murah, bisa dijamin semuanya",2 years ago,0,Netral,Positif,percaya murah jamin
Indra Setiawan,5.0,"Barang oke, pelayanan bagus 👍",2 years ago,0,Netral,Positif,barang oke layan bagus
Gevan Fayad Raihan,5.0,puas,4 months ago,0,Netral,Positif,puas
Andrean Firmansyah,5.0,"Tempatnya nyaman
Mas mas nya asik
Mantap dah",2 years ago,0,Netral,Positif,tempat nyaman mas mas nya asik mantap dah
Khanafi Asnan,5.0,"pelayanan oke mantap ,tempat bersih nyaman",3 years ago,0,Netral,Positif,layan oke mantap bersih nyaman
arini sabrina,5.0,Ramah dan nyaman untuk tanya2 seputar produk,a year ago,0,Netral,Positif,ramah nyaman putar produk
Addin briliantoro,5.0,Pelayanan ramah dan kualitas oke,a year ago,0,Netral,Positif,layan ramah kualitas oke
Rizky Aditya,5.0,"Pelayanan yang bagus, mantap pokoknya",a year ago,0,Netral,Positif,layan bagus mantap pokok
ananda setyadharma,5.0,"Sangat rekomendasi, (saya orang bukan adminya)",3 years ago,0,Netral,Positif,rekomendasi orang adminya
Raffie Tsaury Kusuma Hadi,5.0,Pelayanan baik,6 months ago,0,Netral,Positif,layan
Nicka Adelia,5.0,"Produknya keren keren, masnya juga ramah banget, the best lah",4 years ago,0,Positif,Positif,produk keren keren mas ramah banget the best
maesa kabuki,5.0,"Ramah, kualitas bagus",8 months ago,0,Netral,Positif,ramah kualitas bagus
Ciblek Riders,5.0,Penjual ramah parah sukses terus bang,2 years ago,0,Netral,Positif,jual ramah parah sukses bang
Pandu Dian Wicaksono,5.0,"Mantabbbbbb betul, terimakasih",5 months ago,0,Netral,Positif,mantabbbbbb terimakasih
Azyumardi Gemilang Ade Putra,5.0,"Mantabbb, harga terjangkau, unit bagus",2 years ago,0,Netral,Positif,mantabbb harga jangkau unit bagus
Agus Widyanto,5.0,Jual beli laptop Jogja yg recomended,11 months ago,0,Netral,Positif,jual beli laptop jogja yg recomended
Adi Gun,5.0,"Tempat jualbeli laptop, recomenddet, murah, berkualitas.",2 years ago,0,Netral,Positif,jualbeli laptop recomenddet murah kualitas
Abdul Lathif,5.0,Rekomendasi kalo cari laptop second kualitas oke..,2 years ago,0,Netral,Positif,rekomendasi kalo cari laptop second kualitas oke
Widya Khalifah,5.0,Dapet harga super deal 👍🏻👍🏻,a year ago,0,Positif,Positif,dapet harga super deal
Ahmad bustomi,5.0,Mantab Hero computer moga awet laptop nya,3 years ago,0,Netral,Positif,mantab hero computer moga awet laptop nya
Ahmad Syaogi,5.0,"Laptop bekas kondisi baik, pelayanan ramah + bonus",3 years ago,0,Netral,Positif,laptop bekas kondisi layan ramah bonus
Shodiq Mustaqim,5.0,"Beli laptop ? Gass kesini aja, Recommended.",2 years ago,0,Netral,Positif,beli laptop gass kesini aja recommended
Dickyyapto Kusumo,5.0,Cari laptop second tapi like new ngk nyesel hero komputer rajanya 😎😎,3 years ago,0,Netral,Positif,cari laptop second like new ngk nyesel hero komputer raja
David Farhan,5.0,Pelayanan mantap,a year ago,0,Netral,Positif,layan mantap
Febri Rahmanto,5.0,Tempat beli laptop second paling recommended asli,2 years ago,0,Netral,Positif,beli laptop second recommended asli
Anisa Dwiwulandari,5.0,Pelayanan oke,a year ago,0,Netral,Positif,layan oke
Muhammad Niko Herlangga,5.0,mase baik,10 months ago,0,Netral,Positif,mase
Ragil wahyu saputro,5.0,Mantap sekali,10 months ago,0,Netral,Positif,mantap
Rike Dwi Santari,5.0,"Pilihan laptop banyak, harga bagus, barang berkualitas.",2 years ago,0,Netral,Positif,pilih laptop harga bagus barang kualitas
Nazlaland,5.0,"Pelayanan ramah, tokonya bersih",2 years ago,0,Netral,Positif,layan ramah toko bersih
Taufiq Rijaal,5.0,Mantab mantab,a year ago,0,Netral,Positif,mantab mantab
Fadila Sobasita,5.0,Yuk yg butuh laptop bagus segera merapat. Cek langsung bungkus.,3 years ago,0,Netral,Positif,yuk yg butuh laptop bagus rapat cek langsung bungkus
Risang Panji Kumoro,5.0,Tempat Jual Beli Laptop yang harganya murah tapi ga murahan 👍🏻,3 years ago,0,Netral,Positif,jual beli laptop harga murah ga murah
Handryanto Handryanto,5.0,Mantap sesuai keinginan,8 months ago,0,Netral,Positif,mantap sesuai
ibnu _abdil,5.0,Tempat beli laptop paling mantap recomended banget !!!,3 years ago,0,Netral,Positif,beli laptop mantap recomended banget
Fitri Zunita,5.0,Rekomendasi laptop second berkualitas di jogja,a year ago,0,Netral,Positif,rekomendasi laptop second kualitas jogja
Java Mahdi,5.0,"Barang bagus, pelayanan siipppp👍👍👍",2 years ago,0,Netral,Positif,barang bagus layan siipppp
Yuliani Tri nurdayanti,5.0,"Pelayanan ramah, harga termurah",a year ago,0,Netral,Positif,layan ramah harga murah
jojobass,5.0,Barang Bagus harga masuk akal 🔥🔥,a year ago,0,Netral,Positif,barang bagus harga masuk akal
Rizki Alfian,5.0,"leptop masih rasa baru dan masih garansi, kacau sii",2 years ago,0,Netral,Positif,leptop garansi kacau sii
rifqi dito,5.0,Sangat rekomendasi,2 years ago,0,Netral,Positif,rekomendasi
Safira Arn,5.0,Ramahh barang bagus like new muluss dan murahh 🖤🖤,3 years ago,0,Positif,Positif,ramahh barang bagus like new muluss murahh
Rikaa,5.0,"respon masnya cepet, persediaan laptop juga banyak",2 years ago,0,Netral,Positif,respon mas cepet sedia laptop
Akbar Debs,5.0,tempatdan pelayanannya bagus dan nyaman 👌,a year ago,0,Netral,Positif,tempatdan layan bagus nyaman
Garindha Jea Alkaf (Jeje),5.0,"Pelayanan bagus, harga termurah",a year ago,0,Netral,Positif,layan bagus harga murah
Adimada hasanal Efendi,5.0,Rekomendasi store laptop murah dan banyak bonusnya,2 years ago,0,Netral,Positif,rekomendasi store laptop murah bonus
Khoirul Misbah,5.0,murah meriah masih bergaransi resmi semua bosku,3 years ago,0,Netral,Positif,murah riah garansi resmi bos
Agus Sumarno,5.0,Pelayanan baik,10 months ago,0,Netral,Positif,layan
M. Yusuf Rahardian Dev,5.0,"Pelayanan mantap, sat set",a year ago,0,Netral,Positif,layan mantap sat set
Armando Kenkao,5.0,Bisa jadi rekomendasi cari laptop 2nd dari entry level - High,3 years ago,0,Netral,Positif,rekomendasi cari laptop nd entry level high
ilham oktavian,5.0,Rekomen untuk pembelian laptop bekas bergaransi 👍,3 years ago,0,Netral,Positif,rekomen beli laptop bekas garansi
ahmad fajar,5.0,"Beli laptop disini, puas, di jelaskan dengan rinci barangnya.",3 years ago,0,Netral,Positif,beli laptop puas rinci barang
Bima Afrizal Malna,5.0,"Barang oke, harga murah👍",a year ago,0,Netral,Positif,barang oke harga murah
Arfina Apti Alimah,5.0,Recomended dan terpercaya bgt  buat beli laptoppp,3 years ago,0,Netral,Positif,recomended percaya bgt beli laptoppp
Aji Satria Ganggadetta,5.0,Toko Laptop Terpercaya dan harga terjangkau🤩🤩👍,2 years ago,0,Netral,Positif,toko laptop percaya harga jangkau
Reynandre Maulana,5.0,"cpuas banget order disini, tidak mengecewakan",2 years ago,0,Netral,Positif,cpuas banget order kecewa
Hadyan hafifi,5.0,Tmpat rekomen yg mau beli laptop second gaming,3 years ago,0,Netral,Positif,tmpat rekomen yg beli laptop second gaming
harindo global trust,5.0,Mantab. Sudah beli 2 kali,2 years ago,0,Netral,Positif,mantab beli kali
Ruslan Zamroni,5.0,"Mantul, semoga laptopnya awet ya,",2 years ago,0,Netral,Positif,mantul moga laptop awet ya
Misbachul Munir,5.0,"pelayanan memuaskan, yang pasti tidak mengecewakan",2 years ago,0,Netral,Positif,layan muas kecewa
Muhammad Doriski 269,5.0,Kualitas bagus,3 years ago,0,Netral,Positif,kualitas bagus
Alven Iklasul Fahamsyah,5.0,"Baik, pilihan banyak memuaskan",a year ago,0,Netral,Positif,pilih muas
aidah ayu,5.0,"mantapp, pelayanan ok bgt👍👍👍",2 years ago,0,Positif,Positif,mantapp layan ok bgt
Nafi'ah Rahma,5.0,pelayanannya mantap,2 years ago,0,Netral,Positif,layan mantap
Reynandre Maulana,5.0,"cpuas banget order disini, tidak mengecewakan",2 years ago,0,Netral,Positif,cpuas banget order kecewa
Achmad Yulianto,5.0,Harga murah barang mewah yang punya ramah👍🏻👍🏻👍🏻,4 years ago,0,Netral,Positif,harga murah barang mewah ramah
Okta Ria,5.0,pelayanan oke ramah recomended,a year ago,0,Netral,Positif,layan oke ramah recomended
Cahya_Syn,5.0,"Pelayanan oke, yang punya ramah 👍",3 years ago,0,Netral,Positif,layan oke ramah
Alim Dwi hardika,5.0,"Pelayanan sangat ramah, recommended deh",3 years ago,0,Netral,Positif,layan ramah recommended deh
Yohanes Christda,5.0,"Beli laptop terbaru dan bergaransi..
Manteup",a year ago,0,Netral,Positif,beli laptop baru garansi manteup
Fina Rahma Wulandari,5.0,Tempat cari laptop berkualitas terbaik,2 years ago,0,Netral,Positif,cari laptop kualitas baik
Imam Noor,5.0,bagussss,5 months ago,0,Netral,Positif,bagussss
Siapakah Saya,5.0,Tempat beli laptop second yang berkualitas,2 years ago,0,Netral,Positif,beli laptop second kualitas
KENGY GILANG RAMADHAN,5.0,"Kualitas oke, harga bersahabat mantapp",3 years ago,0,Netral,Positif,kualitas oke harga sahabat mantapp
Prasetyo Nugroho,5.0,Mantap Rekomendasi,3 years ago,0,Netral,Positif,mantap rekomendasi
Yohana Lestarina Nage,5.0,Pelayananya baik,a year ago,0,Netral,Positif,pelayananya
Bayu Prasetyo,5.0,pelayanan oke,a year ago,0,Netral,Positif,layan oke
Samson Moses Simbolon,5.0,"Pelayanan nya bagus , laptop nya juga bagusss",3 years ago,0,Netral,Positif,layan nya bagus laptop nya bagusss
Galih A. Setiyawan,5.0,Tempat nyaman laptop lengkap,10 months ago,0,Netral,Positif,nyaman laptop lengkap
Indah Ayu,5.0,Mantap 👍👍👍👍,4 months ago,0,Netral,Positif,mantap
Avissina Asqolani,5.0,Bagus Nyaman barang sesuai pesanan,3 years ago,0,Netral,Positif,bagus nyaman barang sesuai pesan
Dhifa Aji,5.0,Terbaik,3 years ago,0,Netral,Positif,baik
Hari Prasetyo hariprasetyo.2021,5.0,"Keren,tempat nya nyaman",a year ago,0,Netral,Positif,kerentempat nya nyaman
Fransiskus Xaverius Kati Lile,5.0,terpercaya.....🙏🙏🙏🙏mantap,3 years ago,0,Netral,Positif,terpercayamantap
Haikal Rahmadany,5.0,Jos,a year ago,0,Netral,Positif,jos
Hanggara B.N,5.0,"mas nya ramah, bintang kejora ⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️",3 years ago,0,Netral,Positif,mas nya ramah bintang kejora
